,0
0,-0.002812048286446816
1,0.003963607436032166
2,-0.000635196132907934
3,-0.0006867597580382394
4,0.001761938986113844
5,-0.0006080715732756797
6,-0.008791629209385317
7,0.003619883252853681
8,-0.004695273799021746
9,-0.0017451190379168195
10,0.0013411249733325187
11,0.0004455154336333914
12,-0.000774201175164758
13,0.002233397561629264
14,0.010745299341071612
15,0.012797680545607476
16,0.007152271516866175
17,0.008155917710701188
18,0.011092735459798784
19,0.009644052586779334
20,0.004639471419142536
21,0.0064209245675463465
22,0.006289417245454506
23,0.004723396951324876
24,0.009422281222809012
25,0.0043528606939106955
26,-0.0011401061186914194
27,0.006759598012207696
28,0.002145776832233012
29,-0.006845611042664417
30,-0.006300986539776896
31,-0.006039503482313709
32,-0.006722638188736032
33,-0.002220663382543121
34,-0.007526916920553137
35,-0.007292974071880702
36,-0.001802431460801046
37,-0.0034440577437416034
38,-0.007232724092267956
39,-0.003360879290287321
40,0.003104894577361466
41,0.00040361727118407915
42,-0.004446035270063405
43,-0.003995961019709773
44,-0.012337011684205274
45,-0.007670523057376192
46,-0.005506716914258305
47,-0.0036053497917731218
48,-0.0017755471359312395
49,-0.006157814578676587
50,-0.002600218733860752
51,0.00013673100074517306
52,-0.0038054349740478397
53,-0.006603613371944168
54,-0.012741884274336281
55,-0.014346740223056181
56,-0.018654134755457265
57,-0.018589389306915814
58,-0.01598411087351814
59,-0.017838462450440244
60,-0.011465204054827743
61,-0.012259320763541751
62,-0.014599808732597006
63,-0.011769280102549308
64,-0.01251351120779425
65,-0.00756742744227454
66,-0.016680412284186763
67,-0.015524926976995408
68,-0.016277205126685176
69,-0.01902145336969733
70,-0.015186599803430645
71,-0.010601900419119029
72,-0.0060706904166145815
73,0.0029600339735133376
74,5.4339496998497806e-05
75,-0.0008044902607299824
76,-0.0020077703345500555
77,-0.0033490319059771745
78,-0.003012500567550592
79,-0.00682336292951277
80,-0.013941018589980321
81,-0.016943986202106787
82,-0.015730697132870522
83,-0.018428600242993018
84,-0.018271117439685434
85,-0.02088248609392802
86,-0.015322068924739408
87,-0.011014455479526706
88,-0.012798605643170162
89,-0.009041415721091387
90,-0.010326748943407436
91,-0.008265442111278836
92,-0.003816096632325475
93,-0.0002601243426214582
94,1.2440368864948395e-05
95,-0.00436998205453623
96,-0.003218077647059529
97,-0.0011346211863071578
98,-0.0061859883543766
99,-0.006725101150974777
100,-0.002265151962862183
101,-0.0022138397399283547
102,-0.0024430394396656157
103,-0.008346440841742042
104,-0.01061001945873661
105,-0.012059153303702795
106,-0.006731616105552562
107,-0.002157339237739037
108,-0.017960906575400393
109,-0.009509337623962994
110,-0.010603548601914953
111,-0.01405249734652217
112,-0.012723865493816084
113,-0.01190242146749275
114,-0.01256075136350434
115,-0.010758008355630398
116,-0.005539061197069001
117,-0.0102378117366946
118,-0.010022147695367582
119,-0.010899492381613717
120,-0.009379513090320285
121,-0.015165571077304919
122,-0.009538234992074875
123,-0.0074863589316929964
124,-0.010293498549543947
125,-0.011568850869128528
126,-0.013885780097694147
127,-0.011898166088171456
128,-0.015062614784834965
129,-0.011768975982864062
130,-0.010802874635128662
131,-0.006956187970227207
132,-0.008143117049453821
133,-0.011273866784581487
134,-0.01315476938390059
135,-0.01898962525619967
136,-0.016777970800658938
137,-0.019101508193499678
138,-0.016477526830172517
139,-0.013306937333044137
140,-0.004346458051606567
141,-0.010729443845598012
142,-0.017713888434733326
143,-0.021352346470671
144,-0.018711873622254207
145,-0.013343540156618377
146,-0.01763385491156936
147,-0.01290070891821197
148,-0.007085605747185772
149,-0.010028018926503261
150,-0.0004643326031729216
151,-0.004550009917314379
152,-0.00724304661019044
153,-0.006233452897605035
154,-0.007801034100637648
155,-0.0026728787164220875
156,-0.0012533731493489999
157,-0.0015080281231443522
158,-0.003881355936339467
159,-0.003976894395758585
160,0.0008559204417197832
161,-0.00023835373339655896
162,0.006808224272709507
163,0.0035791590588784847
164,0.0018185867673895964
165,0.005457465494895435
166,0.003030186956561069
167,0.005436428431282988
168,0.0034046440716941863
169,0.0006969666006405894
170,0.004638757475796876
171,0.0024150605599539154
172,-0.0008375194541499155
173,-0.0063024324023649245
174,-0.008967897370237768
175,-0.004627546772029242
176,-0.004561122006663413
177,-0.0028276303279658127
178,-0.004588594517331458
179,-0.005378125773951043
180,-0.00613599440130892
181,-0.004907473946254128
182,-0.004425751590207145
183,0.0013218741064482673
184,0.0019086205429705327
185,-0.0012471764541127739
186,0.005071543629326789
187,-0.0003821008390938096
188,0.0015390541104563608
189,-0.008914658295052115
190,-0.011728697623095932
191,-0.012220941994238135
192,-0.009138540088625377
193,-0.008369847466371882
194,-0.012074172548883622
195,-0.005591785986213087
196,-0.002061063678424984
197,-0.010611059388337757
198,-0.010073106254089892
199,-0.011860865936895759
200,-0.008425170565903117
201,-0.012603133783621932
202,-0.008087544563192346
203,-0.011622139072383726
204,-0.007029290880726704
205,-0.0011197217674774533
206,-0.007451585383061713
207,-0.006040901519771497
208,-0.0065820944543618105
209,-0.008653626276353065
210,-0.01064023791686974
211,-0.012122142210345502
212,-0.010786457926774082
213,-0.011960323416267299
214,-0.010575760943810564
215,-0.0069685763064817425
216,-0.007919978732229122
217,-0.0009185199443299988
218,0.0019620709860736904
219,0.002107767364716622
220,0.00990428138342977
221,0.006042338999655854
222,0.003078814443968592
223,-0.0004148250781870076
224,-0.003412347486345779
225,-0.0038479879585398436
226,-0.006060807468479884
227,-0.008110610425993056
228,-0.002073813858262445
229,0.0005902435066081533
230,-0.004818479086493094
231,-0.002656444357617616
232,-0.004242126155908963
233,2.380397302081926e-05
234,0.0035134740352869565
235,0.001509526591762812
236,0.0026103744818883456
237,0.004628295697451999
238,0.003060909561483285
239,0.005909988873117894
240,0.008184554681324084
241,0.011979070611572424
242,0.0104596407145443
243,0.007946177310408168
244,0.0068397253844423985
245,0.00669272945920569
246,0.00834312150162073
247,0.006311459116908075
248,0.0047780991190596355
249,0.00846318724480263
250,0.007201268871128764
251,0.000303772212586285
252,-0.002000960980490726
253,0.00050101203145652
254,0.00011838811781696765
255,-0.0034363024986598326
256,-0.007218785246432371
257,-0.008099666311844172
258,-0.007398714751693305
259,-0.004930430604366304
260,-0.004321684006864568
261,-0.001135269595895468
262,0.0013825578522391779
263,0.0021613741383598997
264,0.0022835055316783263
265,0.004427884538137987
266,0.0018111734160006763
267,0.0004853297739173594
268,-0.0020849970093566746
269,-0.002831947860429612
270,-0.0034133200968401623
271,0.0009569960444093124
272,-0.003020873174594026
273,-0.0004298774233254921
274,0.005703291582613402
275,0.0006842353929127149
276,0.0021491191039708884
277,-0.0043969825763051015
278,-0.009322160840809439
279,-0.010762069593251187
280,-0.0066787582587720705
281,-0.0022732046936981744
282,0.0018506499033164733
283,0.0020098654062311485
284,0.0018335122130367285
285,-0.0006334026165063443
286,0.0013860649826638938
287,-0.00016394205521404507
288,-0.004442518620175195
289,-0.007415233705646583
290,-0.008568419994290857
291,-0.0020938586281840205
292,-0.0035982624393119554
293,-0.000526532742501933
294,-0.002990297174536116
295,-0.0025941932659888293
296,0.0016103412581040628
297,0.0023812722027846673
298,0.0045999359519347345
299,0.007554722416887351
300,0.004301098789873185
301,0.00660537170639247
302,3.731719316883399e-05
303,0.00030682692959405885
304,0.0023858775200953915
305,0.004065113705954916
306,-0.0038205576689806005
307,-0.006596190745032866
308,-0.004092196894960192
309,-0.0032384024867223495
310,-0.0008941260810912228
311,-0.0006786674822455297
312,0.0022572228635130594
313,0.005165557499420052
314,0.006609557896871819
315,0.005918380648691031
316,0.009637452800887791
317,0.009029592658026926
318,0.011511417567231114
319,0.009770215296771516
320,0.005297488350803527
321,0.005235359482312093
322,-0.0015466769600276018
323,-3.866068170747425e-05
324,-0.0041944919872057935
325,-0.006555186792938954
326,0.0038203311784421813
327,-0.005820619561445707
328,-0.010455381450885606
329,-0.00915392524662641
330,-0.009745645050284388
331,-0.011754464523716585
332,-0.005441576951305268
333,-0.004326268746144051
334,-0.006405079361376374
335,-0.005203061408917782
336,-0.00499884560376021
337,-0.003777965996349834
338,-0.005832811529425074
339,-0.007824515783672438
340,-0.006206184980088521
341,0.002032272048848998
342,-0.003590205606694006
343,-0.0011579919429533351
344,0.0016892843031515682
345,-0.0020611286842672698
346,-0.004061375733796595
347,-0.0015720186473853286
348,-0.002768050295032715
349,-0.008460448454287528
350,-0.0010728437623647256
351,0.0018425066328871013
352,0.003845669985163541
353,-0.00010464991916222053
354,-0.005082986368037033
355,-0.009549096718353208
356,-0.007892247181156532
357,-0.0069997764939563525
358,-0.014261707677754865
359,-0.012290170130864444
360,-0.006962422564177653
361,-0.007238400347925659
362,-0.0064045534715716345
363,-0.008632334745871915
364,-0.008540011443270806
365,-0.007690994968761101
366,-0.00850903812074246
367,-0.005245690649343833
368,-0.008299847943020109
369,-0.010657999617730481
370,-0.013147890428286667
371,-0.0038125871425553153
372,-0.0006019099024534381
373,-0.0021335999016247726
374,0.002766098839577297
375,0.0005940236152015003
376,-0.00025067343522076446
377,0.0009017320434285687
378,-0.0024335856568126627
379,-7.561847300855043e-05
380,0.004094398061728653
381,0.008391971518043651
382,0.008566498885167388
383,0.0031608195507537903
384,0.0028209885441701473
385,0.0038091831096511487
386,0.008841744147164397
387,0.008158369781127679
388,0.0070848293094104555
389,0.005871872150137818
390,0.006666222528516694
391,0.00471389679345207
392,-0.0009020053579882494
393,-0.0010240450922338348
394,-0.0036568616000095338
395,-0.004154831904970514
